0:18.000 +
1:17.000 N
6:10.000 N
11:02.000 N
15:46.000 N
20:31.000 N
25:15.000 N
30:09.000 N
34:04.000 A
40:02.000 N
45:06.000 N
49:58.000 N
54:42.000 N
59:20.000 N
1:04:22.000 N
1:09:30.000 N
1:14:26.000 N
1:19:24.000 N
1:24:20.000 N
1:29:06.000 N
1:33:53.000 N
1:38:38.000 N
1:43:34.000 N
1:48:47.000 N
1:53:43.000 N
1:58:26.000 N
2:03:11.000 N
2:07:50.000 N
2:12:33.000 N
2:17:25.000 N
2:22:19.000 N
2:27:17.000 N
2:32:21.000 N
2:37:11.000 N
2:41:50.000 N
2:46:38.000 N
2:51:22.000 N
2:56:31.000 N
3:01:34.000 N
3:06:31.000 N
3:11:20.000 N
3:16:21.000 N
3:21:06.000 N
3:25:50.000 N
3:30:45.000 N
3:35:49.000 N
3:41:06.000 N
3:46:02.000 N
3:50:42.000 N
3:55:31.000 N
4:00:23.000 N
4:05:10.000 N
4:10:11.000 N
4:15:10.000 N
4:20:07.000 N
4:24:59.000 N
4:29:43.000 N
4:34:24.000 N
4:39:15.000 N
4:44:18.000 N
4:49:18.000 N
4:54:17.000 N
4:59:07.000 N
5:03:47.000 N
5:08:34.000 N
5:13:15.000 N
5:18:00.000 N
5:23:08.000 N
5:28:13.000 N
5:33:09.000 N
5:37:51.000 N
5:42:34.000 N
5:47:17.000 N
5:52:11.000 N
5:57:03.000 N
